paper_id,paper_section,version,subject_raw,subject_code,subject_trend_only,object_raw,object_code,rel_raw,rel_exists,rel_direction,rel_valence,rel_conditionality_raw,rel_conditionality_code,rel_uncertainty_raw,rel_uncertainty_code,rel_exists_note,effect_raw,effect_metric,effect_magnitude,effect_error_metric,effect_error_magnitude,source_locus,source_citation_raw,method_raw,method_type,causal_inference_level,geographic_scope_raw,geographic_scope_code,temporal_scope_raw,temporal_scope_code,population_raw,population_code
regine2006,Abstract,v0.2.0-alpha,"gold mining",aquatic_mercury_pollution,No,"mercury accumulation in animals",mercury_bio_accumulation,"Within a multidisciplinary research programme set up in French Guiana (Amazonian basin), twelve fish species from six food regimes were collected from the upper part of the Maroni River in order to analyze mercury (Hg) distribution in six organs (gills, liver, kidneys, skeletal muscle, stomach, and intestine) and to look for a relationship between Hg organotropism and food regimes. As many studies have shown, mercury biomagnification leads to extremely marked differences in muscle accumulation levels: the average ratio between extreme concentrations measured in piscivorous and herbivorous species was almost 500. ",Yes,Subject→Object,Positive,"ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cross-sectional Hg sampling in 12 fish species + tissue partitioning",Observation,Association,"France (French Guiana), Upper part of the Maroni River",Country,"2003-2005 sampling",snapshot,"France (French Guiana), Upper part of the Maroni River; ASGM",Aquatic ecosystem
regine2006,Introduction,v0.2.0-alpha,"gold mining",gold_mining,No,"mercury emissions into water",mercury_use,"Total Hg concentrations measured in the dissolved fraction of the river waters are low, between 1 and 10 ng/L, with the exception of zones very close to the goldmining sites. The mercury discharges from goldmining activities are a combination of inputs at source of elemental Hg (Hg) at the mining sites, where the amalgamation technique is used for gold extraction, and the release into the water of eroded soils naturally enriched with mercury (Roulet et al., 1999).",Yes,Subject→Object,Positive,"ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cross-sectional Hg sampling in 12 fish species + tissue partitioning",Observation,Association,"France (French Guiana), Upper part of the Maroni River",Country,"2003-2005 sampling",snapshot,"France (French Guiana), Upper part of the Maroni River; ASGM",Aquatic ecosystem
regine2006,Introduction,v0.2.0-alpha,"gold mining",mercury_use,No,"mercury contamination of soil",mercury_contaminated_tailings,"Total Hg concentrations measured in the dissolved fraction of the river waters are low, between 1 and 10 ng/L, with the exception of zones very close to the goldmining sites. The mercury discharges from goldmining activities are a combination of inputs at source of elemental Hg (Hg) at the mining sites, where the amalgamation technique is used for gold extraction, and the release into the water of eroded soils naturally enriched with mercury (Roulet et al., 1999).",Yes,Subject→Object,Positive,"ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cross-sectional Hg sampling in 12 fish species + tissue partitioning",Observation,Association,"France (French Guiana), Upper part of the Maroni River",Country,"2003-2005 sampling",snapshot,"France (French Guiana), Upper part of the Maroni River; ASGM",Aquatic ecosystem
regine2006,Introduction,v0.2.0-alpha,"gold mining",mercury_contaminated_tailings,No,"soil erosion",aquatic_mercury_pollution,"Total Hg concentrations measured in the dissolved fraction of the river waters are low, between 1 and 10 ng/L, with the exception of zones very close to the goldmining sites. The mercury discharges from goldmining activities are a combination of inputs at source of elemental Hg (Hg) at the mining sites, where the amalgamation technique is used for gold extraction, and the release into the water of eroded soils naturally enriched with mercury (Roulet et al., 1999).",Yes,Subject→Object,Positive,"ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cross-sectional Hg sampling in 12 fish species + tissue partitioning",Observation,Association,"France (French Guiana), Upper part of the Maroni River",Country,"2003-2005 sampling",snapshot,"France (French Guiana), Upper part of the Maroni River; ASGM",Aquatic ecosystem
